Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency,% Saves,% Long Passes,% Crosses Stopped
Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30,30,2700,2.2,6.27,4.0,0.1,0.23,0.17,0.07,0.0,2.12,6.53,20.17,34.2,4.3,6.33,15.23,0.83,0.67,0.07,-0.08,63.8,32.37,5.45
Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,1,122,1.48,4.43,2.95,0.74,0.74,0.74,0.0,0.0,1.11,13.28,35.41,19.18,0.0,17.7,24.34,0.0,0.0,0.0,-0.37,66.59,37.5,0.0
Adrián,es ESP,GK,Betis,37,1987,26,26,2340,1.38,3.88,2.5,0.19,0.08,0.08,0.0,0.0,1.0,2.23,6.85,19.5,3.5,4.19,9.88,0.54,0.62,0.0,-0.38,64.43,32.55,5.47
Aitor Fernández,es ESP,GK,Osasuna,33,1991,1,1,90,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,1.2,19.0,35.0,34.0,4.0,11.0,14.0,1.0,1.0,0.0,1.2,100.0,54.29,7.14
Alban Lafont,fr FRA,GK,Nantes,25,1999,12,12,1080,1.58,4.08,2.67,0.17,0.25,0.25,0.0,0.0,1.4,3.33,11.92,25.75,4.67,4.75,16.67,1.33,0.5,0.0,-0.18,65.44,27.94,7.98
Albert Posiadala,pl POL,GK,no Molde,21,2003,6,6,540,1.83,3.17,1.33,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,41.96,,
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,3.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,2.2,8.0,12.0,26.0,5.0,6.0,12.0,0.0,5.0,0.0,-0.8,57.14,66.67,0.0
Aleksandr Zarutskiy,kz KAZ,GK,kz Astana FK,30,1993,1,1,90,2.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,66.67,,
Aleksei Ploshchadnyi,ru RUS,GK,am FC Noah,20,2004,3,3,270,2.33,6.0,3.33,0.33,0.33,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-2.33,55.5,,
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,1.59,4.49,2.9,0.14,0.0,0.0,0.0,0.0,1.58,4.2,12.17,24.35,3.19,8.26,12.32,0.58,0.72,0.0,-0.01,64.59,34.51,4.71
Alex McCarthy,eng ENG,GK,Southampton,34,1989,5,5,450,2.6,7.4,4.8,0.0,0.4,0.4,0.0,0.0,2.52,4.8,10.4,26.4,5.8,4.6,14.8,1.6,0.0,0.0,-0.08,64.86,46.15,10.81
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,3005,0.75,2.52,1.77,0.48,0.12,0.03,0.06,0.03,0.76,2.64,6.41,31.18,3.5,5.42,11.32,0.63,1.41,0.09,0.01,70.24,41.19,5.57
Alex Padilla,es ESP,GK,Athletic Club,20,2003,5,3,321,1.68,4.77,3.36,0.0,0.28,0.28,0.0,0.0,1.35,7.57,21.87,27.48,4.21,6.17,15.98,0.56,0.84,0.0,-0.34,70.44,34.61,3.5
Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13,13,1170,2.31,5.46,3.31,0.0,0.08,0.08,0.0,0.0,1.93,5.46,14.31,25.31,4.23,7.23,19.15,1.54,1.0,0.0,-0.38,60.62,38.16,8.04
Alexander Meyer,de GER,GK,Dortmund,33,1991,3,3,270,1.33,4.0,2.67,0.33,0.0,0.0,0.0,0.0,1.37,3.67,14.0,40.33,2.67,3.67,11.0,1.0,1.0,0.0,0.03,66.75,26.21,9.09
Alexander Nübel,de GER,GK,Stuttgart,27,1996,41,41,3690,1.61,3.95,2.34,0.2,0.07,0.05,0.02,0.0,1.29,4.49,11.71,35.29,3.95,3.39,11.59,0.63,1.46,0.02,-0.32,59.24,38.34,5.44
Alexander Schlager,at AUT,GK,at RB Salzburg,28,1996,4,4,335,3.49,8.33,4.84,0.0,0.27,0.27,0.0,0.0,2.85,3.76,13.16,25.52,3.76,5.91,15.31,1.07,2.96,0.0,-0.64,58.1,28.57,6.99
Alexander Schwolow,de GER,GK,Union Berlin,32,1992,6,6,540,2.17,4.67,2.5,0.0,0.17,0.17,0.0,0.0,1.62,4.67,12.17,27.67,4.33,6.67,14.17,0.0,0.67,0.0,-0.55,53.53,38.37,0.0
Aleš Mandous,cz CZE,GK,cz Slavia Prague,32,1992,2,2,180,2.0,7.0,4.5,0.0,1.0,0.5,0.5,0.0,2.35,3.5,9.0,36.0,5.5,3.5,9.5,0.5,1.0,0.5,0.35,64.29,38.89,5.26
Alisson,br BRA,GK,eng Liverpool,31,1992,34,34,3078,0.94,3.71,2.84,0.35,0.03,0.03,0.0,0.0,1.08,2.98,8.48,32.13,4.47,2.95,9.3,0.44,1.64,0.0,0.15,76.55,35.14,4.73
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,25,2260,1.63,4.58,3.07,0.2,0.0,0.0,0.0,0.0,1.41,5.38,15.29,31.38,4.74,7.81,15.69,0.6,1.19,0.0,-0.22,67.03,35.19,3.82
Altay Bayındır,tr TUR,GK,eng Manchester Utd,26,1998,6,6,540,1.83,4.5,2.83,0.33,0.0,0.0,0.0,0.0,2.02,2.17,12.0,30.0,3.17,5.17,11.67,0.67,1.5,0.0,0.18,62.89,18.08,5.74
Amir Saipi,xk KVX,GK,ch Lugano,24,2000,8,8,750,1.44,4.56,3.12,0.36,0.24,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,-1.44,68.42,,
Anatolii Trubin,ua UKR,GK,pt Benfica,22,2001,12,12,1080,1.58,5.0,3.42,0.33,0.17,0.17,0.0,0.0,1.17,1.75,7.83,22.58,5.58,5.42,14.42,0.67,0.67,0.0,-0.42,68.4,22.35,4.65
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,22.5,56.25,11.25,22.5,11.25,0.0,0.0,0.0,0.0,,50.0,0.0
Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,9,9,810,1.22,3.56,2.33,0.44,0.11,0.11,0.0,0.0,1.24,2.56,5.11,20.67,4.44,5.33,8.67,0.67,1.67,0.0,0.02,65.45,50.1,7.73
André Ferreira,pt POR,GK,Valladolid,28,1996,6,6,540,3.33,6.5,3.17,0.0,0.5,0.5,0.0,0.0,2.55,5.0,13.83,23.0,4.33,9.33,15.33,0.67,0.5,0.0,-0.78,48.77,36.15,4.37
André Onana,cm CMR,GK,Manchester Utd,28,1996,47,47,4260,1.31,3.8,2.49,0.23,0.15,0.13,0.02,0.0,1.28,3.68,12.49,32.47,3.78,4.18,11.58,0.63,0.76,0.02,-0.03,65.53,29.46,5.44
Anthony Lopes,pt POR,GK,Nantes,33,1990,18,18,1563,1.5,4.09,2.65,0.17,0.29,0.23,0.0,0.06,1.47,5.12,14.8,25.97,3.22,5.53,17.74,0.92,0.46,0.06,-0.02,64.79,34.59,5.19
Anthony Moris,lu LUX,GK,be Union SG,34,1990,10,10,930,1.06,3.58,2.61,0.19,0.1,0.1,0.0,0.0,1.22,7.35,17.03,30.1,2.52,3.29,11.03,0.77,0.48,0.0,0.15,72.91,43.16,6.98
Antonio Sivera,es ESP,GK,Alavés,27,1996,32,32,2810,1.25,3.59,2.4,0.26,0.29,0.29,0.0,0.0,1.25,9.51,23.19,23.54,2.24,7.33,14.51,0.96,0.93,0.0,0.0,66.85,41.01,6.62
Antonín Kinský,cz CZE,GK,Tottenham,21,2003,12,12,1080,1.5,4.0,2.67,0.17,0.08,0.08,0.0,0.0,1.36,3.92,10.08,34.08,4.75,4.17,12.92,1.0,1.5,0.0,-0.14,66.75,38.89,7.74
Arijanet Muric,xk KVX,GK,Ipswich Town,25,1998,18,18,1620,1.83,5.56,3.72,0.06,0.17,0.17,0.0,0.0,1.74,4.22,12.72,29.67,5.22,5.22,13.83,2.17,1.11,0.0,-0.09,66.91,33.18,15.69
Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,1,90,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,7.0,15.0,38.0,5.0,5.0,14.0,1.0,1.0,0.0,-1.5,0.0,46.67,7.14
Arnau Tenas,es ESP,GK,Paris S-G,23,2001,1,1,90,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,4.0,30.0,4.0,2.0,5.0,1.0,1.0,0.0,0.5,75.0,75.0,20.0
Arthur Desmas,fr FRA,GK,Le Havre,30,1994,18,18,1620,2.11,5.17,3.0,0.17,0.17,0.11,0.06,0.0,2.15,3.11,8.39,22.44,4.0,6.5,15.39,0.67,0.39,0.06,0.04,58.03,37.07,4.35
Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,32,2880,1.22,4.16,2.91,0.25,0.25,0.19,0.06,0.0,1.25,5.53,16.69,30.91,4.03,5.75,14.16,1.09,1.19,0.06,0.03,69.95,33.13,7.7
Bart Verbruggen,nl NED,GK,Brighton,21,2002,36,36,3240,1.61,3.97,2.42,0.19,0.25,0.25,0.0,0.0,1.42,3.39,10.72,34.06,3.39,2.31,11.5,0.75,1.31,0.0,-0.19,60.96,31.62,6.52
Bartłomiej Drągowski,pl POL,GK,gr Panathinaikos,26,1997,7,7,630,1.71,5.57,3.86,0.29,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.71,69.3,,
Ben Alexander Voll,de GER,GK,St. Pauli,23,2000,2,1,91,1.98,4.95,2.97,0.0,0.0,0.0,0.0,0.0,2.37,6.92,27.69,36.59,4.95,12.86,14.84,0.0,0.0,0.0,0.4,60.0,24.99,0.0
Benjamin Lecomte,fr FRA,GK,Montpellier,33,1991,30,30,2700,2.27,5.77,3.57,0.03,0.23,0.2,0.03,0.0,1.91,5.9,14.97,27.13,3.83,6.13,13.6,0.67,0.87,0.03,-0.36,61.87,39.41,4.93
Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,1.18,7.11,5.92,0.0,0.0,0.0,0.0,0.0,1.42,3.55,17.76,31.97,5.33,11.25,15.39,0.59,0.59,0.0,0.24,83.26,19.99,3.83
Bernd Leno,de GER,GK,Fulham,32,1992,38,38,3420,1.42,4.18,2.79,0.13,0.11,0.08,0.03,0.0,1.29,3.71,9.66,32.39,4.39,4.53,13.34,0.61,0.87,0.03,-0.13,66.75,38.41,4.57
Brandon Austin,eng ENG,GK,eng Tottenham,25,1999,3,3,270,1.33,3.0,1.67,0.33,0.0,0.0,0.0,0.0,1.7,2.67,6.33,23.33,5.0,4.33,17.67,2.67,1.33,0.0,0.37,55.67,42.18,15.11
Brice Samba,fr FRA,GK,Rennes,30,1994,32,32,2879,1.28,4.41,3.06,0.38,0.22,0.16,0.06,0.0,1.46,4.38,10.66,31.39,3.91,5.56,11.79,1.03,1.16,0.06,0.18,69.39,41.09,8.74
Bruno Varela,cv CPV,GK,pt Vitória,29,1994,8,8,720,1.5,4.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,62.5,,
Caoimhín Kelleher,ie IRL,GK,Liverpool,25,1998,14,14,1260,1.07,3.86,2.64,0.5,0.14,0.0,0.14,0.0,1.25,2.86,10.57,35.57,4.36,2.57,11.0,0.57,1.14,0.14,0.18,68.39,27.06,5.18
Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7,7,630,2.71,5.57,2.86,0.14,0.29,0.29,0.0,0.0,2.44,6.0,16.57,29.14,5.0,7.29,15.86,1.71,0.29,0.0,-0.27,51.35,36.21,10.78
Christos Mandas,gr GRE,GK,Lazio,22,2001,18,18,1650,0.82,3.33,2.51,0.33,0.0,0.0,0.0,0.0,1.06,5.13,13.36,32.56,3.87,3.22,11.29,1.53,1.85,0.0,0.25,75.38,38.4,13.55
Colin Coosemans,be BEL,GK,be Anderlecht,31,1992,9,9,810,1.44,4.11,2.67,0.11,0.22,0.11,0.11,0.0,1.14,5.22,17.22,45.22,4.22,3.67,15.56,0.78,1.22,0.11,-0.3,64.96,30.31,5.01
Connor Roberts,wls WAL,GK,wls The New Saints,31,1992,6,6,540,1.67,6.83,5.17,0.17,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67,75.7,,
Craig Gordon,sct SCO,GK,sct Hearts,41,1982,6,6,540,1.5,3.83,2.33,0.17,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,60.84,,
Damjan Šiškovski,mk MKD,GK,ba Borac Banja Luka,29,1995,1,1,90,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,50.0,,
Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,6,540,1.0,3.33,2.33,0.33,0.0,0.0,0.0,0.0,0.93,4.33,17.67,22.0,3.5,7.67,13.17,0.33,0.17,0.0,-0.07,69.97,24.5,2.51
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,2,180,2.0,6.0,4.0,0.5,0.0,0.0,0.0,0.0,1.95,3.5,10.5,26.0,3.0,6.5,12.5,0.0,1.5,0.0,-0.05,66.67,33.33,0.0
Daniel Peretz,il ISR,GK,Bayern Munich,24,2000,4,4,360,1.5,2.75,1.25,0.0,0.0,0.0,0.0,0.0,1.27,2.25,8.0,30.5,1.25,3.0,5.25,0.0,2.0,0.0,-0.22,45.45,28.12,0.0
Daniel Schmidt,jp JPN,GK,be Gent,32,1992,1,1,90,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,33.33,,
Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,3.0,7.0,18.0,2.0,2.0,11.0,1.0,0.0,0.0,0.8,100.0,42.86,9.09
Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,3.21,9.64,6.43,0.0,0.0,0.0,0.0,0.0,2.89,3.21,32.14,28.93,0.0,19.29,61.07,0.0,0.0,0.0,-0.32,66.7,9.99,0.0
Daniil Khudiakov,ru RUS,GK,at Sturm Graz,20,2004,2,2,180,1.5,5.0,3.5,0.5,0.0,0.0,0.0,0.0,1.35,4.5,19.5,30.5,4.5,5.5,16.0,2.0,0.5,0.0,-0.15,70.0,23.08,12.5
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,37,1987,3,3,270,1.33,4.0,2.67,0.33,0.0,0.0,0.0,0.0,1.47,6.0,17.33,23.33,2.0,11.0,18.67,0.67,1.0,0.0,0.13,66.75,34.62,3.59
Danny Ward,wls WAL,GK,Leicester City,31,1993,2,1,135,4.0,6.67,2.67,0.0,0.0,0.0,0.0,0.0,1.87,6.67,14.67,30.67,6.0,4.67,7.33,0.0,1.33,0.0,-2.13,40.03,45.47,0.0
David Raya,es ESP,GK,Arsenal,28,1995,51,51,4590,0.84,3.12,2.24,0.37,0.14,0.1,0.04,0.0,0.96,4.29,12.96,32.27,4.47,4.04,10.55,1.31,1.65,0.04,0.12,71.79,33.1,12.42
David Soria,es ESP,GK,Getafe,31,1993,38,38,3420,1.03,3.32,2.26,0.24,0.24,0.21,0.03,0.0,1.11,7.89,21.03,18.92,1.79,8.0,12.61,0.66,1.03,0.03,0.08,68.07,37.52,5.23
David de Gea,es ESP,GK,Fiorentina,33,1990,39,39,3540,1.17,4.02,2.82,0.25,0.13,0.08,0.05,0.0,0.96,5.54,12.46,22.53,3.28,6.13,12.15,0.33,0.71,0.05,-0.21,70.15,44.46,2.72
David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,4,360,3.75,7.25,3.25,0.0,0.25,0.0,0.25,0.0,2.38,5.75,16.75,31.75,2.25,5.75,14.75,0.25,1.0,0.25,-1.38,44.83,34.33,1.69
Davy Roef,be BEL,GK,be Gent,30,1994,7,7,630,1.29,5.29,4.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.29,75.61,,
Dean Henderson,eng ENG,GK,Crystal Palace,27,1997,38,38,3420,1.34,3.95,2.66,0.29,0.05,0.03,0.03,0.0,1.35,4.13,15.79,24.79,3.03,7.18,14.71,0.79,1.05,0.03,0.01,67.34,26.16,5.37
Deniz Dilmen,0,GK,tr Başakşehir,19,2005,2,2,180,3.5,6.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,46.15,,
Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,2880,1.41,3.91,2.47,0.19,0.09,0.03,0.03,0.03,1.26,5.03,17.5,29.78,3.25,4.69,15.31,1.12,0.47,0.06,-0.15,63.17,28.74,7.32
Diant Ramaj,de GER,GK,dk FC Copenhagen,22,2001,4,4,390,1.38,4.62,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.38,69.91,,
Diego Conde,es ESP,GK,Villarreal,25,1998,22,22,1962,1.51,4.31,2.84,0.09,0.18,0.14,0.0,0.05,1.21,2.8,7.39,24.4,5.09,4.91,14.82,0.83,0.73,0.05,-0.31,65.89,37.89,5.6
Dimitry Bertaud,cd COD,GK,Montpellier,26,1998,4,4,360,2.75,5.25,2.5,0.0,0.5,0.5,0.0,0.0,2.2,5.0,11.75,21.5,4.75,6.75,13.75,2.0,0.75,0.0,-0.55,47.62,42.55,14.55
Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,13,11,1085,1.58,4.48,2.9,0.08,0.17,0.08,0.08,0.0,1.61,5.72,14.52,39.4,4.4,3.9,12.28,0.75,1.33,0.08,0.03,64.73,39.39,6.11
Diogo Costa,pt POR,GK,pt Porto,24,1999,10,10,900,1.5,3.8,2.3,0.3,0.0,0.0,0.0,0.0,1.23,5.0,12.8,37.4,3.9,5.1,14.6,0.9,1.3,0.0,-0.27,60.53,39.06,6.16
Dmytro Riznyk,ua UKR,GK,ua Shakhtar,25,1999,8,8,720,2.0,6.5,4.5,0.25,0.25,0.12,0.12,0.0,2.15,5.75,16.38,38.88,4.25,6.75,17.62,2.0,0.5,0.12,0.15,69.23,35.1,11.35
Dominik Greif,sk SVK,GK,Mallorca,27,1997,31,31,2790,1.1,3.74,2.68,0.23,0.06,0.06,0.0,0.0,1.09,6.16,15.32,27.32,4.06,6.23,16.48,0.48,0.68,0.0,-0.0,71.66,40.21,2.91
Dominik Kotarski,hr CRO,GK,gr PAOK,24,2000,10,10,900,1.4,4.5,3.2,0.3,0.0,0.0,0.0,0.0,1.68,3.8,13.2,34.9,3.4,4.2,13.5,0.3,0.8,0.0,0.28,71.11,28.79,2.22
Dominik Livaković,hr CRO,GK,tr Fenerbahçe,29,1995,6,6,540,1.5,5.67,4.0,0.0,0.17,0.0,0.17,0.0,1.67,5.83,17.83,37.5,5.33,4.33,12.17,0.5,1.0,0.17,0.17,70.55,32.7,4.11
Dominik Takáč,sk SVK,GK,sk Slovan Bratislava,25,1999,8,8,720,3.38,8.0,4.5,0.0,0.25,0.12,0.12,0.0,2.95,4.25,12.62,19.62,4.88,10.0,20.38,1.38,0.0,0.12,-0.42,56.25,33.68,6.77
Donovan Léon,gf GUF,GK,Auxerre,31,1992,32,32,2880,1.5,5.12,3.69,0.28,0.19,0.16,0.03,0.0,1.74,6.66,20.28,29.22,5.41,6.09,16.19,0.88,1.22,0.03,0.24,72.07,32.84,5.44
Dávid Gróf,hu HUN,GK,hu Ferencváros,35,1989,2,2,180,1.5,4.5,3.0,0.5,0.0,0.0,0.0,0.0,1.2,5.0,16.0,23.5,2.0,3.5,16.5,1.0,0.5,0.0,-0.3,66.67,31.25,6.06
Dénes Dibusz,hu HUN,GK,hu Ferencváros,33,1990,7,7,572,1.57,4.88,3.3,0.31,0.47,0.47,0.0,0.0,1.75,4.25,9.28,26.28,3.78,4.56,12.43,0.16,1.1,0.0,0.17,67.62,45.8,1.29
Ed McGinty,ie IRL,GK,ie Shamrock Rov,24,1999,2,2,210,0.43,2.14,1.71,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43,79.91,,
Ederson,br BRA,GK,Manchester City,30,1993,34,34,3040,1.36,3.7,2.37,0.33,0.12,0.12,0.0,0.0,1.38,2.66,6.13,31.5,4.17,3.14,8.26,0.5,1.95,0.0,0.02,64.05,43.39,6.05
Elia Caprile,it ITA,GK,Napoli,22,2001,22,21,1945,1.06,3.42,2.36,0.37,0.05,0.05,0.0,0.0,1.19,6.62,16.52,29.06,4.72,8.05,13.74,0.97,1.2,0.0,0.12,69.01,40.07,7.06
Elías Rafn Ólafsson,is ISL,GK,dk Midtjylland,24,2000,6,6,520,1.21,5.19,3.98,0.35,0.17,0.17,0.0,0.0,1.26,4.33,16.62,27.0,5.54,8.48,10.73,0.87,2.08,0.0,0.05,76.69,26.05,8.11
Emil Audero,id IDN,GK,Como,27,1997,8,8,720,2.25,4.25,2.0,0.0,0.5,0.5,0.0,0.0,1.55,2.12,6.88,29.0,3.75,2.62,11.88,0.62,1.0,0.0,-0.7,47.06,30.81,5.22
Emiliano Martínez,ar ARG,GK,Aston Villa,31,1992,49,49,4274,1.2,4.25,3.03,0.27,0.06,0.04,0.02,0.0,1.3,4.51,11.5,34.41,3.64,4.49,12.89,1.45,0.91,0.02,0.1,71.29,39.22,11.25
Ersin Destanoğlu,tr TUR,GK,tr Beşiktaş,23,2001,3,3,270,1.67,5.67,4.0,0.33,0.33,0.33,0.0,0.0,1.57,2.33,11.67,26.67,6.67,8.67,13.0,1.33,0.33,0.0,-0.1,70.55,19.97,10.23
Fabian Bredlow,de GER,GK,de Stuttgart,29,1995,1,1,90,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,3.3,4.0,14.0,31.0,5.0,2.0,8.0,0.0,2.0,0.0,-0.7,33.33,28.57,0.0
Fabiano,br BRA,GK,cy AC Omonia,36,1988,7,7,630,1.29,4.71,3.29,0.29,0.14,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,-1.29,69.85,,
Fabijan Buntić,hr CRO,GK,az Qarabağ,27,1997,2,2,180,2.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,2.2,0.5,3.0,15.5,3.5,3.0,8.5,0.5,1.0,0.0,-0.3,50.0,16.67,5.88
Fabrice Ondoa,cm CMR,GK,lv FK Rīgas FS,28,1995,8,8,720,1.62,5.0,3.38,0.12,0.0,0.0,0.0,0.0,1.39,4.12,13.75,24.25,3.75,5.12,16.12,0.75,0.5,0.0,-0.24,67.6,29.96,4.65
Federico Ravaglia,it ITA,GK,Bologna,24,1999,13,12,1146,1.18,2.28,1.1,0.31,0.08,0.08,0.0,0.0,0.97,4.16,12.09,36.99,4.01,3.85,8.17,0.86,0.71,0.0,-0.2,48.25,34.41,10.53
Fernando Muslera,uy URU,GK,tr Galatasaray,38,1986,6,6,540,2.33,4.83,2.5,0.0,0.17,0.17,0.0,0.0,2.3,4.17,10.17,28.0,4.17,4.17,10.5,0.83,1.0,0.0,-0.03,51.76,41.0,7.9
Filip Jørgensen,dk DEN,GK,Chelsea,22,2002,18,18,1620,1.0,4.28,3.28,0.33,0.11,0.11,0.0,0.0,0.52,0.39,1.83,9.5,1.06,1.0,2.94,0.11,0.11,0.0,-0.48,76.64,21.31,3.74
Filip Manojlović,rs SRB,GK,ba Borac Banja Luka,28,1996,9,9,840,0.96,4.18,3.11,0.43,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,-0.96,74.4,,
Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,1367,1.51,5.46,3.95,0.0,0.33,0.26,0.07,0.0,1.66,3.16,10.6,28.9,3.36,4.81,16.39,0.79,0.86,0.07,0.14,72.34,29.81,4.82
Finn Dahmen,de GER,GK,Augsburg,26,1998,19,19,1710,1.0,4.32,3.42,0.47,0.11,0.11,0.0,0.0,1.27,6.79,17.95,32.32,2.68,7.63,17.74,0.47,1.37,0.0,0.27,79.17,37.83,2.65
Florian Müller,de GER,GK,Freiburg,26,1997,9,8,753,1.91,3.59,1.79,0.12,0.24,0.24,0.0,0.0,1.39,6.45,19.84,31.91,3.35,6.81,12.43,0.72,1.08,0.0,-0.53,49.86,32.51,5.79
Fran,es ESP,GK,Real Madrid,19,2005,1,1,90,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,2.0,16.0,3.0,4.0,5.0,1.0,1.0,0.0,-1.1,0.0,50.0,20.0
Fran Vieites,es ESP,GK,Betis,25,1999,12,12,1110,0.97,2.11,1.14,0.24,0.0,0.0,0.0,0.0,0.38,0.97,4.38,7.3,1.3,2.35,5.27,0.49,0.32,0.0,-0.59,54.03,22.15,9.3
Francis Uzoho,ng NGA,GK,cy AC Omonia,25,1998,1,1,90,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,75.0,,
Franco Israel,uy URU,GK,pt Sporting CP,24,2000,8,8,720,1.5,4.88,3.5,0.25,0.25,0.12,0.0,0.12,1.62,2.38,7.38,25.12,3.75,7.38,9.5,0.38,0.38,0.12,0.12,71.72,32.25,4.0
Frank Feller,de GER,GK,Heidenheim,20,2004,4,3,331,1.09,3.81,2.72,0.54,0.27,0.27,0.0,0.0,0.08,2.72,9.24,14.68,1.9,2.99,6.8,0.27,0.27,0.0,-1.01,71.39,29.44,3.97
Fraser Forster,eng ENG,GK,Tottenham,36,1988,11,11,990,1.91,6.0,4.09,0.18,0.18,0.18,0.0,0.0,2.14,1.55,4.82,24.27,4.82,7.82,13.82,0.82,0.82,0.0,0.23,68.17,32.16,5.93
Frederik Rønnow,dk DEN,GK,Union Berlin,31,1992,28,28,2520,1.32,3.96,2.54,0.29,0.18,0.04,0.14,0.0,1.4,5.11,14.11,26.21,4.82,5.75,17.25,1.43,1.25,0.14,0.08,64.14,36.22,8.29
Fyodor Lapoukhov,by BLR,GK,by Dinamo Minsk,21,2003,6,6,540,2.17,5.0,2.67,0.17,0.67,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,-2.17,53.4,,
Gabriel Kobylak,pl POL,GK,pl Legia Warsaw,22,2002,4,4,360,1.25,5.75,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25,78.26,,
Gauthier Gallon,fr FRA,GK,Rennes,31,1993,1,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,4.0,8.0,4.0,0.0,2.0,0.0,0.0,,0.0,0.0
